Brand,Title,Selling Price,MRP Price,Average Rating,Rating Count,Web URL 
Campus,Campus Women's LISA (N) Purple Running Shoes,₹699.00,₹1099.00,4.2,126,https://www.tatacliq.com/campus-womens-lisa-n-purple-running-shoes/p-mp000000020216702
LUNA BLU,LUNA BLU by Westside Ivory Trim Slide Sandals,₹999.00,₹999.00,4.5,2,https://www.tatacliq.com/luna-blu-by-westside-ivory-trim-slide-sandals/p-mp000000019946275
Campus,Campus Women's VAST Light Grey Running Shoes,₹1799.00,₹1999.00,0,0,https://www.tatacliq.com/campus-womens-vast-light-grey-running-shoes/p-mp000000019895647
Puma,Puma Women's Softride Pro Warm White Running Shoes,₹5599.00,₹7999.00,0,0,https://www.tatacliq.com/puma-womens-softride-pro-warm-white-running-shoes/p-mp000000019880173
LUNA BLU,LUNA BLU by Westside Clear Trim Slide Sandals,₹999.00,₹999.00,5.0,1,https://www.tatacliq.com/luna-blu-by-westside-clear-trim-slide-sandals/p-mp000000019946227
Puma,Puma Women's Whizzlite Wns Black Sneakers,₹1779.00,₹4499.00,0,0,https://www.tatacliq.com/puma-womens-whizzlite-wns-black-sneakers/p-mp000000019880197
Red Tape,Red Tape Women's White Running Shoes,₹1624.00,₹6499.00,4.05,20,https://www.tatacliq.com/red-tape-womens-white-running-shoes/p-mp000000018253637
Aldo,Aldo Women's Disney White Stiletto Pumps,₹7490.00,₹14999.00,0,0,https://www.tatacliq.com/aldo-womens-disney-white-stiletto-pumps/p-mp000000018721993
LUNA BLU,LUNA BLU by Westside Black Chunky Heel Loafers,₹1599.00,₹1599.00,0,0,https://www.tatacliq.com/luna-blu-by-westside-black-chunky-heel-loafers/p-mp000000020222318
Footin,Footin by Bata Women's Black Ankle Strap Sandals,₹1026.00,₹1299.00,0,0,https://www.tatacliq.com/footin-by-bata-womens-black-ankle-strap-sandals/p-mp000000001517503
Puma,Puma Women's SOFTRIDE Posse Ash Grey Running Shoes,₹2199.00,₹5499.00,0,0,https://www.tatacliq.com/puma-womens-softride-posse-ash-grey-running-shoes/p-mp000000019880130
Red Tape,Red Tape Women's Beige Casual Sneakers,₹1530.00,₹5099.00,0,0,https://www.tatacliq.com/red-tape-womens-beige-casual-sneakers/p-mp000000020114344
LUNA BLU,LUNA BLU by Westside Pearl Floral Embellished White Slides,₹1399.00,₹1399.00,0,0,https://www.tatacliq.com/luna-blu-by-westside-pearl-floral-embellished-white-slides/p-mp000000020222233
Mochi,Mochi Women's Black Sling Back Sandals,₹1489.00,₹2290.00,0,0,https://www.tatacliq.com/mochi-womens-black-sling-back-sandals/p-mp000000019583933
LUNA BLU,LUNA BLU by Westside Wine Chunky Heel Loafers,₹1599.00,₹1599.00,0,0,https://www.tatacliq.com/luna-blu-by-westside-wine-chunky-heel-loafers/p-mp000000020222336
adidas,Adidas Women's QUESTAR 2 Blue Running Shoes,₹7999.00,₹7999.00,0,0,https://www.tatacliq.com/adidas-womens-questar-2-blue-running-shoes/p-mp000000019770456
LUNA BLU,LUNA BLU by Westside Light Brown Dog Face Fur Slides,₹799.00,₹799.00,0,0,https://www.tatacliq.com/luna-blu-by-westside-light-brown-dog-face-fur-slides/p-mp000000020112194
Mochi,Mochi Women's Brown Sling Back Sandals,₹1489.00,₹2290.00,0,0,https://www.tatacliq.com/mochi-womens-brown-sling-back-sandals/p-mp000000019583964
Puma,Puma Women's Propella Sedate Grey Sneakers,₹2799.00,₹3999.00,0,0,https://www.tatacliq.com/puma-womens-propella-sedate-grey-sneakers/p-mp000000019880234
