Brand,Title,Selling Price,MRP Price,Average Rating,Rating Count,Web URL
U.S. Polo Assn.,U.S. Polo Assn. Dark Green Regular Fit Shirt,₹1839.00,₹2299.00,3.79,19,https://www.tatacliq.com/u-s-polo-assn-dark-green-regular-fit-shirt/p-mp000000015191655
Pepe Jeans,Pepe Jeans KINGSMAN Aqua Regular Fit Linen Shirt,₹2879.00,₹3599.00,4.44,9,https://www.tatacliq.com/pepe-jeans-kingsman-aqua-regular-fit-linen-shirt/p-mp000000016551529
Red Tape,Red Tape Blue Regular Fit Cotton Shirt,₹719.00,₹3599.00,3.97,31,https://www.tatacliq.com/red-tape-blue-regular-fit-cotton-shirt/p-mp000000016854518
United Colors of Benetton,United Colors of Benetton Blue Linen Slim Fit Shirt,₹1859.00,₹2999.00,3.0,2,https://www.tatacliq.com/united-colors-of-benetton-blue-linen-slim-fit-shirt/p-mp000000017999211
Levi's,Levi's Blue Relaxed Fit Floral Print Shirt,₹2319.00,₹2899.00,0,0,https://www.tatacliq.com/levis-blue-relaxed-fit-floral-print-shirt/p-mp000000019345430
Spykar,Spykar Coffee Brown Linen Slim Fit Shirt,₹1499.00,₹2999.00,5.0,5,https://www.tatacliq.com/spykar-coffee-brown-linen-slim-fit-shirt/p-mp000000017872907
Arrow,Arrow Green Cotton Slim Fit Checks Shirt,₹1428.00,₹2599.00,4.5,2,https://www.tatacliq.com/arrow-green-cotton-slim-fit-checks-shirt/p-mp000000016521150
Arrow,Arrow Olive Cotton Slim Fit Checks Shirt,₹1428.00,₹2599.00,4.33,3,https://www.tatacliq.com/arrow-olive-cotton-slim-fit-checks-shirt/p-mp000000016521025
Louis Philippe Jeans,Louis Philippe Jeans Pink Cotton Slim Fit Checks Shirt,₹2799.00,₹2799.00,5.0,2,https://www.tatacliq.com/louis-philippe-jeans-pink-cotton-slim-fit-checks-shirt/p-mp000000018417386
Arrow,Arrow Rust Cotton Slim Fit Checks Shirt,₹1428.00,₹2599.00,4.5,2,https://www.tatacliq.com/arrow-rust-cotton-slim-fit-checks-shirt/p-mp000000016521110
Jack & Jones,Jack & Jones Sky Blue Cotton Slim Fit Shirt,₹1259.00,₹2799.00,0,0,https://www.tatacliq.com/jack-jones-sky-blue-cotton-slim-fit-shirt/p-mp000000017189551
Allen Solly,Allen Solly White Linen Slim Fit Shirt,₹3044.00,₹3499.00,0,0,https://www.tatacliq.com/allen-solly-white-linen-slim-fit-shirt/p-mp000000018435767
Being Human,Being Human Black Slim Fit Shirt,₹1259.00,₹2799.00,0,0,https://www.tatacliq.com/being-human-black-slim-fit-shirt/p-mp000000016907303
The Souled Store,The Souled Store Maroon Regular Fit Printed Shirt,₹1049.00,₹1999.00,4.17,46,https://www.tatacliq.com/the-souled-store-maroon-regular-fit-printed-shirts/p-mp000000013625448
The Bear House,The Bear House Multicolor Slim Fit Striped Cotton Shirt,₹1996.00,₹2495.00,5.0,1,https://www.tatacliq.com/the-bear-house-multicolor-slim-fit-striped-cotton-shirt/p-mp000000017194007
U.S. Polo Assn.,U.S. Polo Assn. Beige Regular Fit Check Cotton Shirt,₹1959.00,₹2799.00,5.0,2,https://www.tatacliq.com/u-s-polo-assn-beige-regular-fit-check-cotton-shirt/p-mp000000017734912
Red Tape,Red Tape Black Regular Fit Cotton Shirt,₹719.00,₹3599.00,3.97,31,https://www.tatacliq.com/red-tape-black-regular-fit-cotton-shirt/p-mp000000016854442
U.S. Polo Assn.,U.S. Polo Assn. Blue Regular Fit Striped Cotton Shirt,₹2699.00,₹2699.00,4.0,1,https://www.tatacliq.com/u-s-polo-assn-blue-regular-fit-striped-cotton-shirt/p-mp000000016959718
American Eagle Outfitters,American Eagle Outfitters Blue Cotton Regular Fit Checks Shirt,₹2999.00,₹2999.00,5.0,1,https://www.tatacliq.com/american-eagle-outfitters-blue-cotton-regular-fit-checks-shirt/p-mp000000017800029
Red Tape,Red Tape Brown Regular Fit Shirt,₹859.00,₹4299.00,4.13,24,https://www.tatacliq.com/red-tape-brown-regular-fit-shirt/p-mp000000016854335
Thomas Scott,Thomas Scott Green Slim Fit Shirt,₹799.00,₹3398.00,4.31,26,https://www.tatacliq.com/thomas-scott-green-slim-fit-shirt/p-mp000000018362322
