Brand,Title,Selling Price,MRP Price,Average Rating,Rating Count,Web URL 
Ishin,Ishin Black Regular Fit Kurta Pant Set,₹999.00,₹3799.00,4.14,155,https://www.tatacliq.com/ishin-black-regular-fit-kurta-pant-set/p-mp000000008888614
Juniper,Juniper Jade Green Printed Jacket Style Kurta Pant Set,₹1650.00,₹3299.00,5.0,1,https://www.tatacliq.com/juniper-jade-green-printed-jacket-style-kurta-pant-set/p-mp000000018305876
Khushal K,Khushal K Yellow Printed Kurta With Pant & Dupatta,₹1694.70,₹5649.00,4.33,6,https://www.tatacliq.com/khushal-k-yellow-printed-kurta-with-pant-dupatta/p-mp000000018500069
Indo Era,Indo Era Green Embroidered Kurta Palazzo Set With Dupatta,₹1699.00,₹6999.00,0,0,https://www.tatacliq.com/indo-era-green-embroidered-kurta-palazzo-set-with-dupatta/p-mp000000019390529
Yufta,Yufta Pink Embellished Kurta Salwar Set With Dupatta,₹1049.00,₹3499.00,3.25,4,https://www.tatacliq.com/yufta-pink-embellished-kurta-salwar-set-with-dupatta/p-mp000000016111600
Indo Era,Indo Era White Embroidered Kurta Palazzo Set With Dupatta,₹1519.00,₹6399.00,3.45,58,https://www.tatacliq.com/indo-era-white-embroidered-kurta-palazzo-set-with-dupatta/p-mp000000011302304
W,W Yellow Cotton Printed Kurta Pant Set,₹2799.00,₹2799.00,0,0,https://www.tatacliq.com/w-yellow-cotton-printed-kurta-pant-set/p-mp000000019626968
Biba,Biba Green Chequered Kurta Palazzo Set,₹1499.00,₹2999.00,0,0,https://www.tatacliq.com/biba-green-chequered-kurta-palazzo-set/p-mp000000010825944
Khushal K,Khushal K Pink Embroidered Kurta With Pant & Dupatta,₹1919.70,₹6399.00,4.0,1,https://www.tatacliq.com/khushal-k-pink-embroidered-kurta-with-pant-dupatta/p-mp000000018500091
Yufta,Yufta Burgundy Rayon Printed Kurta With Pant & Dupatta,₹1599.00,₹3999.00,5.0,2,https://www.tatacliq.com/yufta-burgundy-rayon-printed-kurta-with-pant-dupatta/p-mp000000014724452
Juniper,Juniper Blue Printed Kurta Pant Set,₹2099.00,₹2999.00,0,0,https://www.tatacliq.com/juniper-blue-printed-kurta-pant-set/p-mp000000019145576
Khushal K,Khushal K Turquoise Embellished Kurta With Pant & Dupatta,₹1679.70,₹5599.00,0,0,https://www.tatacliq.com/khushal-k-turquoise-embellished-kurta-with-pant-dupatta/p-mp000000018500115
Aurelia,Aurelia Red Printed Kurti Pant Set,₹1799.00,₹3999.00,4.0,1,https://www.tatacliq.com/aurelia-red-printed-kurti-pant-set/p-mp000000011976969
Indo Era,Indo Era Off-White Embroidered Kurta Pant Set,₹1579.00,₹6999.00,4.45,29,https://www.tatacliq.com/indo-era-off-white-embroidered-kurta-pant-set/p-mp000000017597310
Ishin,Ishin Rust & Yellow Embroidered Kurta Pant Set With Dupatta,₹1719.60,₹4299.00,0,0,https://www.tatacliq.com/ishin-rust-yellow-embroidered-kurta-pant-set-with-dupatta/p-mp000000019609456
Biba,Biba Turquoise Embroidered Kurta With Pant & Dupatta,₹2799.00,₹3999.00,3.5,6,https://www.tatacliq.com/biba-turquoise-embroidered-kurta-with-pant-dupatta/p-mp000000009602040
Khushal K,Khushal K Black Embroidered Kurta With Pant & Dupatta,₹1634.70,₹5449.00,4.23,13,https://www.tatacliq.com/khushal-k-black-embroidered-kurta-with-pant-dupatta/p-mp000000018500088
Indo Era,Indo Era Navy Printed Kurta Pant Set With Dupatta,₹1139.00,₹4999.00,5.0,1,https://www.tatacliq.com/indo-era-navy-printed-kurta-pant-set-with-dupatta/p-mp000000019390773
