Brand,Title,Selling Price,MRP Price,Average Rating,Rating Count,Web URL
Wardrobe,Wardrobe by Westside Marine Blue Blouse,₹1499.00,₹1499.00,4.18,11,https://www.tatacliq.com/wardrobe-by-westside-marine-blue-blouse/p-mp000000017933990
Fablestreet,Fablestreet White Floral Print Top,₹1556.10,₹1995.00,0,0,https://www.tatacliq.com/fablestreet-white-floral-print-top/p-mp000000017080833
Gia,Gia by Westside Black and Beige Printed Relaxed Fit Blouse,₹999.00,₹999.00,4.5,10,https://www.tatacliq.com/gia-by-westside-black-and-beige-printed-relaxed-fit-lantana-blouse/p-mp000000018938922
Mode by Red Tape,Mode by Red Tape Black Printed Crew T-Shirt,₹339.00,₹1699.00,0,0,https://www.tatacliq.com/mode-by-red-tape-black-printed-crew-t-shirt/p-mp000000012181874
Twenty Dresses,Twenty Dresses Black Floral Print he Peplum Plush Top,₹1047.00,₹1495.00,0,0,https://www.tatacliq.com/twenty-dresses-black-floral-print-he-peplum-plush-top/p-mp000000017285625
Code by Lifestyle,Code by Lifestyle Black Regular Fit Top,₹1258.00,₹1399.00,5.0,1,https://www.tatacliq.com/code-by-lifestyle-black-regular-fit-top/p-mp000000018700901
Twenty Dresses,Twenty Dresses Brown Slim Fit T-Shirt,₹896.00,₹1195.00,0,0,https://www.tatacliq.com/twenty-dresses-brown-slim-fit-t-shirt/p-mp000000018382068
Styli,Styli Green Striped Top,₹622.00,₹699.00,0,0,https://www.tatacliq.com/styli-green-striped-top/p-mp000000019784209
Allen Solly,Allen Solly Grey Striped Top,₹989.00,₹1799.00,5.0,1,https://www.tatacliq.com/allen-solly-grey-top/p-mp000000014828120
Globus,Globus Mint Green Regular Fit Top,₹1199.00,₹1499.00,0,0,https://www.tatacliq.com/globus-mint-green-regular-fit-top/p-mp000000019851981
Code by Lifestyle,Code by Lifestyle Off-White Regular Fit Top,₹699.00,₹1399.00,0,0,https://www.tatacliq.com/code-by-lifestyle-off-white-regular-fit-top/p-mp000000017893916
Allen Solly,Allen Solly Orange Printed Top,₹824.00,₹1499.00,0,0,https://www.tatacliq.com/allen-solly-orange-printed-top/p-mp000000013085164
Annabelle by Pantaloons,Annabelle by Pantaloons Pink Regular Fit Top,₹720.00,₹899.00,0,0,https://www.tatacliq.com/annabelle-by-pantaloons-pink-regular-fit-top/p-mp000000017084513
Allen Solly,Allen Solly Pink Cotton Printed T-Shirt,₹896.00,₹1299.00,0,0,https://www.tatacliq.com/allen-solly-pink-cotton-printed-t-shirt/p-mp000000018797880
Styli,Styli Purple Self Pattern Top,₹519.00,₹799.00,0,0,https://www.tatacliq.com/styli-purple-self-pattern-top/p-mp000000019041852
Ginger by Lifestyle,Ginger by Lifestyle Red Sweet Heart Neck Top,₹718.00,₹799.00,0,0,https://www.tatacliq.com/ginger-by-lifestyle-red-regular-fit-top/p-mp000000018947193
MADAME,MADAME Yellow Printed Top,₹949.00,₹1899.00,5.0,1,https://www.tatacliq.com/madame-yellow-printed-top/p-mp000000014559726
Code by Lifestyle,Code by Lifestyle Yellow Chequered Top,₹799.00,₹1599.00,0,0,https://www.tatacliq.com/code-by-lifestyle-yellow-chequered-top/p-mp000000016833379
